Student,LPIPS,SSIM
113590032.png,0.0,1.0
113590004.png,0.24649925529956818,0.7785101972033927
113590025.png,0.26233646273612976,0.7873828322242871
113590043.png,0.26427990198135376,0.7856616182933851
113590047.png,0.2684360444545746,0.7617202133581892
113590031.png,0.2691998779773712,0.6935605311906224
111590047.png,0.2724197506904602,0.7192567364859319
111590042.png,0.28231772780418396,0.7925444466386824
113370239.png,0.28799572587013245,0.7178857754294456
113590005.png,0.290781170129776,0.7513840236627438
113590060.png,0.30437517166137695,0.7252092675532873
113590051.png,0.31122711300849915,0.7200231800726583
113590026.png,0.3157164752483368,0.7153103961629196
113590003.png,0.3204943537712097,0.7076763634975587
113590039.png,0.3228747248649597,0.7015847651595204
113590001.png,0.33036500215530396,0.6712090447263253
113590015.png,0.33099061250686646,0.6862925112778281
113590021.png,0.331428587436676,0.6940499383446483
111590062.png,0.33189743757247925,0.6841343224154567
113590061.png,0.33376744389533997,0.7126731878509195
113590033.png,0.3376225531101227,0.7080811560417507
113590040.png,0.3467194736003876,0.6941841749756639
112590455.png,0.34702926874160767,0.6827770859882534
112590454.png,0.3476372957229614,0.6754922772059189
113590451.png,0.3546469509601593,0.6773536571581847
113590010.png,0.35595375299453735,0.5948830287103738
112590040.png,0.36500558257102966,0.6658330427434838
113590450.png,0.36580345034599304,0.7074236955018782
113590052.png,0.36630168557167053,0.6583276718634571
111590028.png,0.36920666694641113,0.7045638191456177
113590022.png,0.3775746524333954,0.6557644580285155
110590455.png,0.3783034086227417,0.695684997443201
113590036.png,0.3812106251716614,0.6370106236863707
113AB0018.png,0.3820025324821472,0.6457961609307608
113590056.png,0.38215509057044983,0.6743072577793273
113590044.png,0.3846474885940552,0.6496631580647301
113590045.png,0.39137810468673706,0.6389897083633164
114054809.png,0.393978089094162,0.6868630145948854
113590028.png,0.39671558141708374,0.6382394994442836
112590452.png,0.40371036529541016,0.6478927143533442
113590050.png,0.41007325053215027,0.6255353135024341
113AC1012.png,0.41726601123809814,0.6820198958386577
113590018.png,0.41863876581192017,0.6623635086297022
113590059.png,0.4209497570991516,0.6085011533631819
113590006.png,0.4294465184211731,0.5689568714499956
113590062.png,0.43028637766838074,0.6217988473251617
113590002.png,0.4340882897377014,0.6208658205894863
113590011.png,0.43912315368652344,0.61900322046785
113590042.png,0.4394317865371704,0.5901877709212808
113590057.png,0.4470288157463074,0.6237932400378073
113590023.png,0.45270881056785583,0.5712934589408551
113590049.png,0.48864293098449707,0.5327546209152093
111590455.png,0.5014580488204956,0.5656556528812783
113590008.png,0.5445250868797302,0.49110741984863554
112590058.jpg,0.5535019636154175,0.464720425379083
113590013.png,0.5688866972923279,0.3995622347689557
